HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Gillingham,Bury,D,1,1,18,11,8,2,6,6,2,3,0,0,2.62,3.6,2.7,1.7,2.11
Milton Keynes Dons,Fleetwood Town,H,1,0,6,10,1,1,2,6,3,1,0,0,2.6,3.6,2.75,2.05,1.75
Oxford,Northampton,A,1,2,12,14,6,4,6,8,0,3,0,0,1.85,3.89,4.33,1.73,2.05
Scunthorpe,Bristol Rvs,H,1,0,9,3,4,1,14,2,2,2,0,0,2.14,3.79,3.39,1.76,2.03
AFC Wimbledon,Peterboro,D,2,2,18,10,2,5,7,4,2,1,0,0,2.5,3.6,2.89,1.77,2.02
Bristol Rvs,AFC Wimbledon,A,1,3,13,11,5,6,9,3,1,1,0,0,2.2,3.39,3.6,2.01,1.77
Bury,Blackburn,A,0,3,10,10,3,6,6,2,0,0,0,0,4.0,3.6,2.0,2.03,1.76
Charlton,Milton Keynes Dons,D,2,2,13,10,5,4,5,1,3,5,0,0,1.9,3.6,4.5,1.91,1.87
Fleetwood Town,Doncaster,D,0,0,7,7,4,5,6,6,1,1,0,0,2.79,3.39,2.7,2.21,1.64
Northampton,Scunthorpe,A,0,3,13,15,4,5,8,3,1,0,0,0,3.29,3.39,2.29,2.06,1.73
Oldham,Rochdale,H,3,1,17,7,7,6,8,2,3,0,0,0,2.62,3.5,2.79,1.89,1.89
Peterboro,Blackpool,A,0,1,14,15,3,5,7,6,1,2,0,0,2.1,3.75,3.5,1.64,2.19
Plymouth,Oxford,A,0,4,8,18,2,6,4,3,1,1,1,0,3.1,3.5,2.39,1.92,1.85
Portsmouth,Southend,H,1,0,5,12,4,2,2,5,0,1,0,0,1.95,3.5,4.33,1.96,1.82
Rotherham,Shrewsbury,A,1,2,9,7,5,3,7,5,1,1,0,1,2.25,3.5,3.39,1.96,1.82
Walsall,Gillingham,A,0,1,21,3,6,2,9,3,0,2,0,1,2.04,3.5,4.0,1.93,1.85
Wigan,Bradford,A,1,2,13,10,5,3,10,5,1,0,0,0,1.66,4.0,5.75,1.92,1.86
Blackpool,Gillingham,D,1,1,22,9,6,2,9,8,0,1,0,0,1.85,3.75,4.5,1.86,1.91
Bradford,Scunthorpe,A,1,2,17,6,9,4,12,3,0,3,0,0,2.25,3.5,3.39,2.11,1.7
Bury,Shrewsbury,H,1,0,15,8,4,1,7,2,0,0,0,0,3.5,3.39,2.25,2.06,1.74
Charlton,Rochdale,H,2,1,17,14,7,7,6,4,0,3,0,0,1.95,3.6,4.2,1.85,1.93
Milton Keynes Dons,Southend,D,1,1,6,11,1,6,8,7,3,2,0,0,2.6,3.5,2.79,1.87,1.9
Oldham,AFC Wimbledon,D,0,0,16,2,4,0,9,4,1,1,0,0,2.35,3.39,3.29,2.03,1.76
Oxford,Blackburn,A,2,4,11,10,5,4,3,5,0,2,0,0,3.6,3.5,2.14,1.98,1.8
Peterboro,Portsmouth,H,2,1,8,5,2,2,7,5,2,1,0,0,2.5,3.6,2.87,1.81,1.97
Plymouth,Northampton,H,2,0,12,8,4,1,7,4,0,0,0,0,2.7,3.39,2.75,1.95,1.84
Walsall,Fleetwood Town,H,4,2,11,10,6,5,3,4,0,1,0,0,2.39,3.29,3.25,2.29,1.59
Wigan,Doncaster,H,3,0,10,7,6,2,4,3,3,2,0,0,1.72,3.75,5.5,2.01,1.77
AFC Wimbledon,Walsall,A,1,2,17,5,3,3,8,3,1,1,0,0,2.1,3.5,3.75,2.22,1.63
Blackburn,Bristol Rvs,H,2,1,14,9,5,2,3,4,1,2,0,0,1.75,4.33,4.5,1.65,2.19
Doncaster,Milton Keynes Dons,H,2,1,13,15,6,6,7,1,0,2,0,0,1.85,3.5,5.0,2.05,1.73
