HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Montrose,Elgin,D,1,1,18.0,5.0,9.0,3.0,15.0,0.0,0,1,0,0,1.25,5.25,13.0,1.55,2.33
Peterhead,Edinburgh City,H,2,1,12.0,3.0,4.0,2.0,5.0,4.0,2,3,0,0,1.19,5.75,17.0,1.45,2.58
Stirling,Stenhousemuir,D,1,1,4.0,8.0,1.0,3.0,2.0,6.0,0,0,0,0,3.0,2.79,2.45,1.92,1.82
Annan Athletic,Elgin,D,1,1,12.0,15.0,3.0,8.0,4.0,5.0,0,2,0,0,2.5,3.5,2.62,1.71,2.03
Berwick,Stirling,H,1,0,12.0,9.0,8.0,2.0,2.0,4.0,0,0,0,0,3.1,3.5,2.2,1.66,2.11
Clyde,Cowdenbeath,H,2,0,11.0,3.0,4.0,3.0,12.0,4.0,0,4,0,0,1.61,4.0,5.0,1.63,2.16
Edinburgh City,Albion Rvs,H,4,0,9.0,3.0,8.0,2.0,2.0,0.0,1,1,0,0,1.57,3.8,6.0,1.69,2.06
Peterhead,Queens Park,D,1,1,10.0,5.0,5.0,2.0,7.0,2.0,1,2,0,0,1.95,3.6,3.6,1.73,2.01
Albion Rvs,Peterhead,A,0,4,6.0,18.0,1.0,10.0,0.0,5.0,0,0,0,0,6.0,4.33,1.5,1.55,2.33
Cowdenbeath,Annan Athletic,A,1,2,8.0,5.0,4.0,3.0,8.0,4.0,2,2,0,0,2.62,3.5,2.5,1.85,1.89
Elgin,Edinburgh City,H,1,0,8.0,14.0,3.0,4.0,1.0,5.0,2,4,0,0,2.3,3.5,2.9,1.73,2.02
Queens Park,Berwick,H,1,0,14.0,14.0,4.0,5.0,5.0,8.0,3,0,0,0,1.75,3.8,4.33,1.73,2.02
Stirling,Clyde,A,0,3,3.0,4.0,2.0,1.0,3.0,4.0,3,2,0,0,2.8,3.6,2.3,1.67,2.1
